Country,HDI Value,GDP in USD,Income Per Day,Population
Albania,0.81,27177735528.0,14.8471575,2714617.0
Armenia,0.811,25786585950.0,8.848503,3033500.0
Australia,0.958,1752190000000.0,72.71122,27204809.0
Austria,0.93,521642000000.0,81.63124,9178482.0
Bangladesh,0.685,450119000000.0,7.510242,173562364.0
Belarus,0.824,75961865472.0,20.547213,9133712.0
Belgium,0.951,664564000000.0,69.923615,11876844.0
Benin,0.515,21482643720.0,5.2668376,14462724.0
Brazil,0.786,19400774882.0,25.532705,211998573.0
Bulgaria,0.845,2179410000000.0,39.4116,6444366.0
Burkina Faso,0.459,112212000000.0,4.472096,23548781.0
Burundi,0.439,23250214910.0,2.6171274,14047786.0
Cameroon,0.588,2162378759.0,6.8537874,29123744.0
Canada,0.939,51326764685.0,77.72996,41288599.0
Central African Republic,0.414,2241250000000.0,2.7529066,5330690.0
Chad,0.416,2751544520.0,4.5775433,20299123.0
Chile,0.878,20625711665.0,32.76781,19764771.0
China,0.797,330267000000.0,17.109299,1408975000.0
Colombia,0.788,18743800000000.0,19.182163,52886363.0
Costa Rica,0.833,1546164420.0,30.73433,5129910.0
Croatia,0.889,95350423177.0,41.354122,3866300.0
Cyprus,0.913,86538413923.0,63.37519,1358282.0
Czechia,0.915,92526176109.0,43.34936,10882164.0
Denmark,0.962,36333022329.0,72.673805,5976992.0
Dominican Republic,0.776,429457000000.0,22.729546,11427557.0
Ecuador,0.777,4086402719.0,16.930481,18135478.0
El Salvador,0.678,124282000000.0,15.455426,6338193.0
Equatorial Guinea,0.674,124676000000.0,9.440321,1892516.0
Estonia,0.905,35364960000.0,43.79758,1371986.0
Ethiopia,0.497,12765777677.0,4.163239,132059767.0
Fiji,0.731,42764929169.0,8.526295,928784.0
Finland,0.948,4891883720.0,64.4631,5637214.0
Georgia,0.844,299836000000.0,10.7141,3673850.0
Germany,0.959,3162080000000.0,79.63479,83510950.0
Greece,0.908,33776141251.0,34.240925,10388805.0
Guatemala,0.662,82825288889.0,12.511656,18406359.0
Guinea-Bissau,0.514,1391435993.0,4.3089066,2201352.0
Honduras,0.645,2119865935.0,11.546224,10825703.0
Iceland,0.972,25224154991.0,68.33211,404610.0
India,0.685,37093565854.0,6.3550925,1450935791.0
Indonesia,0.728,222905000000.0,8.235058,283487931.0
Iraq,0.695,33462807983.0,12.957657,46042015.0
Ireland,0.949,3912690000000.0,59.157333,5380257.0
Israel,0.919,1396300000000.0,42.778305,9974400.0
Italy,0.915,279641000000.0,57.50909,58986023.0
Jamaica,0.72,577389000000.0,18.942043,2839175.0
Japan,0.925,540380000000.0,48.10824,123975371.0
Kazakhstan,0.837,19930288337.0,15.093543,20592571.0
Kenya,0.628,4026210000000.0,4.288312,56432944.0
Kiribati,0.644,53352289577.0,6.907507,134518.0
Latvia,0.889,288406000000.0,40.018093,1862441.0
Lebanon,0.752,124499000000.0,9.996689,5805962.0
Lithuania,0.895,43520773851.0,46.528545,2888055.0
Madagascar,0.487,2271541846.0,2.9119458,31964956.0
Malawi,0.517,4750000000.0,2.5915048,21655286.0
Malaysia,0.819,84869215513.0,39.696262,35557673.0
Maldives,0.766,93197329012.0,17.726778,527799.0
Mali,0.419,17420814801.0,4.7777743,24478595.0
Malta,0.924,11008925323.0,65.44735,574346.0
Marshall Islands,0.733,421972000000.0,12.782961,37548.0
Mauritania,0.563,6975146349.0,7.20688,5169395.0
Mexico,0.789,24322006608.0,17.818584,130861007.0
Mongolia,0.747,280357844.2,14.330854,3524788.0
Montenegro,0.862,10766731874.0,20.636969,623831.0
Mozambique,0.493,1852720000000.0,2.380777,34631766.0
Nepal,0.622,154431000000.0,9.469674,29651054.0
Netherlands,0.955,22416650343.0,75.495895,17994237.0
Niger,0.419,13372354269.0,3.3583598,27032412.0
Nigeria,0.56,160350639.5,4.1566157,232679478.0
North Macedonia,0.815,42914268287.0,17.216728,1792179.0
Norway,0.97,1227540000000.0,86.74115,5572272.0
Panama,0.839,19537639288.0,28.700144,4515577.0
Paraguay,0.756,16685236492.0,21.274677,6929153.0
Peru,0.794,483727000000.0,13.862174,34217848.0
Philippines,0.72,373072000000.0,7.255237,115843670.0
Poland,0.906,86260400000.0,44.054623,36554707.0
Portugal,0.89,32538480024.0,41.0672,10701636.0
Romania,0.845,289222000000.0,32.655457,19069340.0
Rwanda,0.578,461618000000.0,4.8951716,14256567.0
Senegal,0.53,217983000000.0,6.512769,18501984.0
Serbia,0.833,382768000000.0,21.973694,6587202.0
Slovenia,0.931,764274042.7,54.709743,2126324.0
Spain,0.918,7547843281.0,54.849464,48807137.0
Sri Lanka,0.776,72485008929.0,10.576535,21916000.0
Suriname,0.722,400261000000.0,18.695366,634431.0
Switzerland,0.97,1722750000000.0,87.38968,9034102.0
Tajikistan,0.691,98963185510.0,9.544276,10590927.0
Thailand,0.798,49909807030.0,20.376883,71668011.0
Togo,0.571,4714267822.0,5.0608582,9515236.0
Tonga,0.769,610118000000.0,12.599189,104175.0
Tunisia,0.746,14204575549.0,15.890997,12277109.0
Uganda,0.582,9925732120.0,3.648793,50015092.0
United Kingdom,0.946,53409988745.0,64.3205,69226000.0
United States,0.938,64239891739.0,92.95212,340110988.0
Uzbekistan,0.74,53651874314.0,16.579653,36361859.0
Vanuatu,0.621,190741000000.0,6.004411,327777.0
Zambia,0.595,537079000000.0,2.8581424,21314956.0
Zimbabwe,0.598,3643830000000.0,5.1664457,16634373.0
